,User1,User2,User3,User4,User5
0,0.0,0.0,2656130.1946640015,0.0,1475652.1582603455
1,3001685.14251709,667114.6303415298,0.0,4887621.4027404785,0.0
0,0.0,0.0,960779.9351215363,2768577.039241791,3059287.667274475
1,6904466.74823761,2417054.921388626,0.0,0.0,0.0
0,0.0,1221208.4978818893,0.0,0.0,8074465.394020081
1,2485907.6738357544,0.0,1443150.7885456085,1490594.1486358643,0.0
0,0.0,0.0,0.0,0.0,0.0
1,678808.4656000137,2046718.7464237213,2513078.1531333923,943389.6094560623,3818004.4293403625
