,q_loss,p_loss,target_q,rew,target_q_next,target_q_std
0,286740.96875,4.1973958015441895,-339.76103582213693,-340.68896018420423,1.1599054336547852,413.56797460222487
1,277110.59375,9.255669593811035,-346.38593290935523,-347.2697546397233,1.104777216911316,402.1408176386475
2,289807.125,17.93197250366211,-349.28876739284084,-350.1771797812803,1.1105154752731323,423.2983217805441
3,274570.8125,30.34619903564453,-354.8520436356422,-355.69348610121915,1.0518031120300293,411.83356159587413
4,263438.3125,46.7292366027832,-348.2597041373619,-349.0220597068435,0.9529444575309753,420.11696866410733
5,257916.734375,70.1716079711914,-358.08421194372227,-358.8077474400214,0.9044193625450134,430.85246928317355
6,232676.578125,100.33502960205078,-369.84926241022754,-370.52640039348955,0.8464224338531494,420.5471935687087
7,176430.84375,133.1567840576172,-321.68371788822293,-322.29335862476654,0.7620509266853333,413.0983861119165
8,176068.78125,192.6320343017578,-382.0121619695482,-382.6060947252306,0.7424159049987793,426.62663848290174
9,139439.34375,241.51516723632812,-363.49060763321927,-364.0009412604419,0.6379170417785645,432.7517234867477
10,107130.921875,293.19293212890625,-346.77016572856746,-347.19607854245567,0.5323910117149353,426.70293983676214
11,78675.375,376.9740905761719,-365.9722378598769,-366.3420492684668,0.4622642695903778,414.14939511854703
12,69516.1484375,438.5107421875,-336.55621276083184,-336.8217785381661,0.33195722103118896,432.83504758273233
13,76364.5078125,558.031982421875,-391.6669188988771,-391.8716438412824,0.2559061646461487,445.0867324351016
14,99572.984375,564.9345092773438,-349.47412576927286,-349.5234293558109,0.061629489064216614,432.5023516716211
15,115187.1484375,593.9439086914062,-349.0735236531916,-349.0354948225415,-0.04753604158759117,425.44126013090494
16,128614.265625,599.5831298828125,-362.0945127695999,-361.8770850924924,-0.27178460359573364,433.1044237894843
17,124858.96875,570.3138427734375,-344.06085932249414,-343.6561836666435,-0.5058445930480957,420.2925110524788
18,132172.90625,577.765380859375,-365.106821041241,-364.4801555920993,-0.7833318114280701,441.35665820507296
19,115169.8359375,528.9196166992188,-367.7342888249882,-366.86286600324644,-1.0892785787582397,437.64875723867425
20,101203.875,506.533447265625,-366.35172179652545,-365.18997451702126,-1.4521840810775757,430.8523567717382
21,79464.28125,446.61126708984375,-354.5916121529625,-353.20527284789046,-1.7329241037368774,437.80086441181686
22,62240.80078125,410.5939025878906,-374.17144245220396,-372.4481663372919,-2.15409517288208,442.83748359459224
23,60462.0703125,354.3316955566406,-353.6283243717115,-351.63359035319434,-2.493417501449585,437.85081538840996
24,57969.3046875,340.8507080078125,-376.6493013308876,-374.25595792412037,-2.9916794300079346,437.025912299285
25,60318.3125,316.16632080078125,-358.9237867011476,-356.2385693160488,-3.3565216064453125,441.5643691391755
26,62233.2734375,286.48101806640625,-331.06402826641823,-328.258715928622,-3.5066404342651367,427.260452907297
27,67278.359375,312.94940185546875,-376.06317176490563,-372.6917667781237,-4.214256286621094,437.2650637889904
28,64230.1796875,305.5235595703125,-360.1536109006411,-356.60377768847684,-4.437291622161865,431.2828354937284
29,64113.14453125,341.6470031738281,-371.96306946887364,-367.86574468471537,-5.1216559410095215,443.66000977593586
30,60442.8984375,373.15460205078125,-381.3258475896976,-376.7739907649419,-5.689821243286133,445.0515558344956
31,52996.515625,378.1930236816406,-356.18919262849784,-351.4100405059621,-5.973939895629883,429.085121280188
32,53574.88671875,422.43023681640625,-390.820099646317,-385.290960277918,-6.911423683166504,435.2512089155544
33,54788.90625,408.83563232421875,-365.6624602317313,-359.8471462799438,-7.2691426277160645,438.6407647453163
34,53991.61328125,406.676513671875,-368.6473955192103,-362.3135403772316,-7.917319297790527,438.93520756033735
35,64931.57421875,412.77606201171875,-399.74927278629553,-392.6039646677724,-8.931634902954102,448.65819879884316
