,q_loss,p_loss,target_q,rew,target_q_next,target_q_std
0,304018.875,6.448370933532715,-356.2137707845292,-356.230017236767,0.02030806615948677,421.37850163976697
1,279713.65625,13.129899024963379,-333.4108981915275,-333.38758818923543,-0.0291375033557415,419.0637258560136
2,286184.09375,24.494354248046875,-348.3742301337364,-348.33054580833004,-0.054605402052402496,425.5580429791716
3,266899.03125,38.956703186035156,-345.74333319177583,-345.65885358554044,-0.10559950768947601,418.49558237015225
4,247554.578125,59.763267517089844,-349.8624191900483,-349.75753886416624,-0.13110040128231049,411.94873100504395
5,241919.328125,88.33732604980469,-364.9513291156387,-364.76784472989107,-0.22935548424720764,423.645075410001
6,202170.28125,120.78496551513672,-344.6854043557621,-344.48768330136306,-0.24715131521224976,420.99428899230725
7,170226.171875,167.91041564941406,-353.62363649423355,-353.3459921035796,-0.34705546498298645,415.88562082057916
8,150585.1875,221.1084747314453,-363.6522239170598,-363.3271047914179,-0.4063988924026489,431.9173421475828
9,109853.8203125,275.5402526855469,-340.65173058840526,-340.2372396666612,-0.5181136131286621,418.92076532810796
10,85585.7109375,356.18963623046875,-368.9728299254254,-368.47203755980485,-0.6259904503822327,421.00164310043624
11,64303.1640625,438.3819580078125,-354.4417476389492,-353.83724336796666,-0.755630373954773,416.18485760804674
12,67455.25,517.793212890625,-384.43329389003014,-383.692956451594,-0.9254217743873596,428.6224815531658
13,94138.9375,558.1845703125,-391.35745866550087,-390.46207563475434,-1.1192288398742676,438.75365202852447
14,105373.8671875,567.6932983398438,-368.55974487581057,-367.55972840932463,-1.2500205039978027,428.63734829706436
15,122885.5078125,580.9375610351562,-357.5488231362733,-356.3546540499216,-1.4927113056182861,418.9141174669601
16,110437.8125,539.7615356445312,-343.4897169967508,-342.18257055181084,-1.6339330673217773,420.6429263914152
17,115512.59375,551.7761840820312,-378.99745851906687,-377.38675757887745,-2.013376235961914,429.96246850998944
18,101900.53125,498.5847473144531,-367.05464251786145,-365.2704210591899,-2.2302768230438232,429.55002748866195
19,85455.109375,454.4495544433594,-365.9436710231435,-363.9239917777238,-2.524599075317383,427.93522679668723
20,76635.828125,392.1698913574219,-341.28284473517147,-339.10187353154777,-2.7262139320373535,434.46794425960053
21,60572.48046875,363.77789306640625,-357.66605795583644,-355.11985398194133,-3.1827549934387207,424.2028090670534
22,60039.9453125,333.5270080566406,-357.6445526648471,-354.790696655282,-3.5673201084136963,438.6868674756221
23,58949.90625,318.9827880859375,-372.8152284598731,-369.60095524548626,-4.017841339111328,421.1909033297456
24,65148.4765625,314.77642822265625,-369.0428997455142,-365.54570708259627,-4.371490478515625,437.2176451539467
25,65399.69140625,311.7138671875,-356.81848335282666,-353.0765311869003,-4.677440166473389,448.8145108463301
26,58950.9921875,324.2057800292969,-353.51028877735996,-349.4279775408203,-5.102889060974121,435.8406789976105
27,56585.703125,345.482666015625,-366.43678535196005,-361.9749581215066,-5.57728385925293,438.32219104920057
28,57862.05078125,372.5931396484375,-371.5439486026055,-366.77439052732564,-5.961947441101074,435.90499323538046
29,52351.06640625,404.17578125,-368.41096265876763,-363.1701097173346,-6.5510663986206055,441.0806520124983
30,56044.77734375,433.6419982910156,-376.2101441648366,-370.50918981349525,-7.126193046569824,439.90739730243286
31,55172.9765625,420.7454528808594,-362.3867553045116,-356.3389688294455,-7.5597333908081055,430.62967196525256
32,60104.1875,419.636474609375,-357.27908643190517,-350.7103535697539,-8.210916519165039,450.90466022768317
33,58642.5,435.43402099609375,-393.34677878413635,-385.747372443162,-9.499258041381836,440.5434137364204
34,53885.29296875,389.87811279296875,-369.95928394762007,-362.10189363920506,-9.821738243103027,446.16547549231717
35,56698.3125,376.92596435546875,-407.2339999731778,-398.70084472304757,-10.666443824768066,446.5963810907232
36,50254.73828125,354.7347717285156,-395.317153527386,-386.4565106732325,-11.075803756713867,458.8715050570901
37,60360.3828125,323.59637451171875,-356.74199667122457,-347.8775528396015,-11.080554962158203,435.29721142796586
38,55611.78515625,362.9590148925781,-394.9223314665692,-384.8039755873466,-12.647945404052734,436.07585830340605
39,55360.8671875,373.2854309082031,-381.95436438242575,-371.5236231364859,-13.03842544555664,456.4169125473226
40,59297.96875,399.6385498046875,-403.7213177359174,-392.32200929861347,-14.249135971069336,450.94367966384317
41,49643.1328125,394.4556884765625,-382.46542527054885,-370.6347226763468,-14.788378715515137,448.2496132405714
42,55457.1640625,387.09716796875,-377.4190331422291,-365.2272311977959,-15.239752769470215,446.831944421035
43,57078.96875,383.2476501464844,-383.5358921869716,-370.34019643348864,-16.494619369506836,450.32968431305613
44,50832.3984375,357.84271240234375,-363.4233763705731,-350.3408704674042,-16.353132247924805,453.0744382267994
45,57639.8515625,384.5928649902344,-396.2561071837104,-381.6810094557369,-18.2188720703125,453.47861615327497
46,54351.85546875,393.2970886230469,-410.49347502826384,-394.47567201864115,-20.022253036499023,458.2806070744591
47,55949.63671875,371.25946044921875,-395.23281024444395,-379.32911341598617,-19.879621505737305,453.16349914037266
48,52318.96875,399.555419921875,-404.30454887698033,-387.0873829971421,-21.52145767211914,465.6940037710522
49,58071.96484375,399.5637512207031,-408.54904241984025,-390.43896609319324,-22.637596130371094,457.0521219822359
50,54723.35546875,416.636962890625,-434.9087393872814,-415.39779441429084,-24.388681411743164,474.74259990027224
51,54079.43359375,412.20745849609375,-419.50775672080795,-399.36034271103426,-25.184267044067383,473.0115192195513
52,49840.73046875,416.93939208984375,-436.8390516532388,-415.3106332450763,-26.910524368286133,455.72321391483933
53,49430.63671875,386.5442199707031,-394.3547468166015,-373.27513597321837,-26.34951400756836,466.36197928044913
